@relation A-6-train-weka.filters.unsupervised.attribute.Remove-R5

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.90253,4,1,14250,cluster6
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.9704,4,1,14240,cluster5
1.79375,3,1,8300,cluster6
0.66295,4,1,23270,cluster6
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
2.02692,4,1,14230,cluster5
1.93817,3,1,11560,cluster6
1.98258,3,1,11550,cluster6
0,3,1,20580,cluster6
1.98257,3,1,11540,cluster6
0,2,1,2540,cluster11
0,2,1,2540,cluster11
0,2,1,2540,cluster11
0,2,1,2540,cluster11
0,2,1,2540,cluster11
0.318184,6,0,22100,cluster6
0,1,1,21000,cluster6
0,2,1,2530,cluster11
0,2,1,2530,cluster11
0,2,1,2530,cluster11
0,2,1,2530,cluster11
0,2,1,2530,cluster11
0,1,1,20590,cluster6
0.009767,2,1,2520,cluster11
0.009767,2,1,2520,cluster11
0.009767,2,1,2520,cluster11
0.009767,2,1,2520,cluster11
0.009767,2,1,2520,cluster11
1.8233,3,1,8460,cluster6
1.09932,4,1,23430,cluster6
1.81943,3,1,8450,cluster6
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.159217,3,1,8310,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.131069,3,1,8300,cluster7
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.3154,4,1,1100,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
0.608617,4,1,1090,cluster15
