refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
