@relation mrgD3train-weka.filters.unsupervised.attribute.Remove-R2

@attribute refinedUse numeric
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0.254214,0,10170,cluster15
0.123699,1,3380,cluster16
0.180399,0,4030,cluster11
1.74757,1,3240,cluster18
0.180399,0,4030,cluster11
1.80682,1,3360,cluster12
1.82953,1,9380,cluster4
1.82953,1,9380,cluster4
1.77045,0,10540,cluster6
2.0401,0,23450,cluster6
0.128217,1,3360,cluster16
0.938984,1,8360,cluster18
0.123699,1,3380,cluster16
1.53592,0,18310,cluster17
0.123699,1,3380,cluster16
1.66288,1,8020,cluster4
0.062616,0,20260,cluster6
0,1,4020,cluster11
0.128217,1,3360,cluster16
0.0185,1,4050,cluster11
1.18938,1,3390,cluster12
0.128217,1,3360,cluster16
0.0185,1,4050,cluster11
1.90617,1,3340,cluster12
1.91586,1,3330,cluster12
1.91586,1,3330,cluster12
0,1,3390,cluster11
1.09793,1,4000,cluster18
1.13128,1,3400,cluster12
1.79638,1,7060,cluster19
1.13128,1,3400,cluster12
0.768117,0,560,cluster7
0.427249,1,15540,cluster3
0.3328,0,3210,cluster11
0.3328,0,3210,cluster11
0.047351,0,15070,cluster11
1.84617,1,13590,cluster19
2.63303,1,14300,cluster5
0.711533,0,470,cluster7
0.133134,1,3370,cluster16
0.133134,1,3370,cluster16
0.135618,0,3580,cluster11
0.749084,0,5470,cluster18
0.123699,1,3380,cluster16
0.135618,0,3580,cluster11
2.5874,1,3510,cluster12
0.102067,1,380,cluster16
0.128217,1,3360,cluster16
2.46508,1,590,cluster3
1.22263,0,9170,cluster6
0.754633,0,5030,cluster18
0.102067,1,380,cluster16
0.128217,1,3360,cluster16
2.46508,1,590,cluster3
1.19567,1,13410,cluster5
0.133134,1,3370,cluster16
0.133134,1,3370,cluster16
0.133134,1,3370,cluster16
2.89543,1,14240,cluster5
0.688744,0,8560,cluster7
1.46027,1,13160,cluster5
0.123283,1,3340,cluster16
0.479523,1,14030,cluster6
1.46027,1,13160,cluster5
2.38137,1,4340,cluster19
0.584584,0,1070,cluster7
0.584584,0,1070,cluster7
0.879699,0,5250,cluster18
0.879699,0,5250,cluster18
0.05045,0,18250,cluster17
0.05045,0,18250,cluster17
1.613,1,10090,cluster4
1.613,1,10090,cluster4
0.128217,1,3360,cluster16
1.32975,1,3580,cluster18
0.128217,1,3360,cluster16
1.32975,1,3580,cluster18
1.47315,1,12580,cluster5
0.788266,0,380,cluster7
1.47315,1,12580,cluster5
2.07227,1,3350,cluster18
1.76292,1,3590,cluster9
0.063231,1,3030,cluster6
1.613,1,10090,cluster4
1.76292,1,3590,cluster9
0.5042,1,15460,cluster3
0.063231,1,3030,cluster6
0.592683,1,12040,cluster9
1.94532,1,12570,cluster5
0.063231,1,3030,cluster6
0.827733,0,4290,cluster18
0.592683,1,12040,cluster9
2.5874,1,3510,cluster12
0.596299,1,23520,cluster9
0.596299,1,23520,cluster9
1.5704,1,3440,cluster12
0.123283,1,3340,cluster16
1.44747,1,3430,cluster12
1.79958,1,13550,cluster19
0.123699,1,3380,cluster16
1.33602,1,3570,cluster18
1.79358,1,3550,cluster9
1.31142,1,6360,cluster9
1.31142,1,6360,cluster9
0.297767,0,18170,cluster17
0.297767,0,18170,cluster17
0.176367,0,18370,cluster17
1.86765,1,3290,cluster12
0.722718,0,160,cluster15
0.722718,0,160,cluster15
0.241016,0,18210,cluster17
2.02532,1,12360,cluster5
0.241016,0,18210,cluster17
0,1,20120,cluster11
0,1,20120,cluster11
1.91586,1,3330,cluster12
2.38137,1,4340,cluster19
0.705382,0,1100,cluster7
2.06273,1,12380,cluster5
2.38137,1,4340,cluster19
1.59698,1,8530,cluster18
0.544167,1,17000,cluster17
0.05045,0,18250,cluster17
0.062616,0,20260,cluster6
0.05045,0,18250,cluster17
0,0,9140,cluster15
1.84703,1,3320,cluster12
0,0,9140,cluster15
1.90617,1,3340,cluster12
1.86765,1,3290,cluster12
0.611166,0,70,cluster15
1.86765,1,3290,cluster12
