@relation mrgB-3train

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.65959,4,1,23410,cluster2
0.65959,4,1,23410,cluster2
1.94532,3,1,12570,cluster5
0.454401,1,1,4290,cluster11
1.79088,2,1,7590,cluster4
2.076,3,1,10500,cluster2
1.79088,2,1,7590,cluster4
2.076,3,1,10500,cluster2
0.021567,0,0,20350,cluster8
1.74737,3,1,13530,cluster19
2.51493,3,1,10490,cluster2
0.797867,5,0,5130,cluster14
1.74737,3,1,13530,cluster19
2.51493,3,1,10490,cluster2
0.797867,5,0,5130,cluster14
1.74737,3,1,13530,cluster19
2.51493,3,1,10490,cluster2
0.797867,5,0,5130,cluster14
0.777933,1,1,4280,cluster11
1.74737,3,1,13530,cluster19
2.51493,3,1,10490,cluster2
0.797867,5,0,5130,cluster14
0.018932,0,0,20340,cluster8
1.74737,3,1,13530,cluster19
2.51493,3,1,10490,cluster2
0.797867,5,0,5130,cluster14
2.56198,0,0,8230,cluster5
1.74737,3,1,13530,cluster19
2.51493,3,1,10490,cluster2
0.797867,5,0,5130,cluster14
2.56198,0,0,8230,cluster5
1.74737,3,1,13530,cluster19
2.51493,3,1,10490,cluster2
0.797867,5,0,5130,cluster14
2.08177,3,1,5300,cluster6
1.74737,3,1,13530,cluster19
2.04855,2,1,8060,cluster4
0.797867,5,0,5130,cluster14
0.797867,5,0,5130,cluster14
0.797867,5,0,5130,cluster14
0.1908,5,1,9320,cluster11
0.610749,4,1,2440,cluster8
0.321466,5,1,9010,cluster6
0.0506,6,0,14530,cluster11
0.019731,4,1,19560,cluster8
0.8294,6,0,23300,cluster2
0.8294,6,0,23300,cluster2
0.8294,6,0,23300,cluster2
0.607432,4,1,2430,cluster8
0.8294,6,0,23300,cluster2
0.8294,6,0,23300,cluster2
0.8294,6,0,23300,cluster2
0.8294,6,0,23300,cluster2
0,0,0,22080,cluster8
1.31172,3,1,0,cluster6
1.63198,2,1,8490,cluster4
1.63198,2,1,8490,cluster4
1.31172,3,1,0,cluster6
2.05912,2,1,8070,cluster4
1.63198,2,1,8490,cluster4
0,5,1,4020,cluster11
2.05912,2,1,8070,cluster4
1.63198,2,1,8490,cluster4
1.13978,3,1,13500,cluster19
0,5,1,4020,cluster11
