@relation c1train-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R3

@attribute 'refinedUse ' numeric
@attribute ' dow ' {0,1,2,3,4,5,6}
@attribute Day {0,1}
@attribute ' Time' numeric
@attribute Cluster {cluster13,cluster9,cluster3,cluster5,cluster15,cluster17,cluster4,cluster12,cluster55,cluster11,cluster10,cluster42,cluster19,cluster30,cluster33,cluster36,cluster34,cluster39,cluster54,cluster47,cluster26,cluster25,cluster50,cluster52,cluster28}

@data
0.81705,4,1,5280,cluster13
0.914117,0,0,10390,cluster15
0.030034,4,1,17230,cluster3
0.030034,4,1,17230,cluster3
0.849217,2,1,14410,cluster15
0.89555,4,1,5270,cluster13
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
2.48785,3,1,14300,cluster55
0,5,1,15030,cluster5
0,5,1,15030,cluster5
0.426682,5,0,11480,cluster15
0.032666,4,1,17220,cluster3
0.032666,4,1,17220,cluster3
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
0.593568,5,1,60,cluster10
1.22133,0,0,10380,cluster15
0.196867,0,0,22560,cluster13
1.01148,1,1,1340,cluster13
0,5,1,15020,cluster5
0,5,1,15020,cluster5
0.43275,5,0,11470,cluster15
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
0.302817,5,1,50,cluster10
