@relation 1train-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R3

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.579017,3,1,21080,cluster8
0.619979,3,1,13370,cluster10
0,4,1,10130,cluster0
0,4,1,10130,cluster0
0.104386,6,0,4570,cluster10
0.95645,5,0,12070,cluster9
0.104386,6,0,4570,cluster10
0.95645,5,0,12070,cluster9
0.104386,6,0,4570,cluster10
0.95645,5,0,12070,cluster9
0,1,1,19230,cluster10
0.378048,6,0,15370,cluster0
0.95645,5,0,12070,cluster9
0,1,1,19230,cluster10
0.378048,6,0,15370,cluster0
0.95645,5,0,12070,cluster9
0,1,1,19230,cluster10
0.096567,2,1,5240,cluster8
0.0122,4,1,19530,cluster1
0.332401,5,1,13470,cluster1
0.95645,5,0,12070,cluster9
0.0122,4,1,19530,cluster1
0.332401,5,1,13470,cluster1
0.95645,5,0,12070,cluster9
0.144063,6,0,4560,cluster10
0.13903,2,1,390,cluster1
0.95645,5,0,12070,cluster9
0.13903,2,1,390,cluster1
0.95645,5,0,12070,cluster9
0.759321,3,1,12360,cluster6
0.77415,6,0,1570,cluster2
0.257067,1,1,5390,cluster8
0.77415,6,0,1570,cluster2
0.162824,3,1,20060,cluster8
0.714617,5,1,11190,cluster1
2.40708,0,1,16170,cluster6
0.714617,5,1,11190,cluster1
0.070749,6,0,23390,cluster13
2.40708,0,1,16170,cluster6
0.070749,6,0,23390,cluster13
0.2565,1,1,5380,cluster8
0.070749,6,0,23390,cluster13
0.168133,3,1,20050,cluster8
0.18682,6,0,16220,cluster6
0.18682,6,0,16220,cluster6
1.81482,1,1,15440,cluster1
2.3315,0,1,16160,cluster6
0.493917,6,0,11400,cluster2
2.21187,0,0,10090,cluster1
2.3315,0,1,16160,cluster6
0.493917,6,0,11400,cluster2
0.493917,6,0,11400,cluster2
0.493917,6,0,11400,cluster2
0.493917,6,0,11400,cluster2
0.085783,1,1,23050,cluster8
0,6,0,2130,cluster11
2.19252,3,1,7030,cluster4
2.19252,3,1,7030,cluster4
0.836583,6,0,2300,cluster2
2.19252,3,1,7030,cluster4
0.836583,6,0,2300,cluster2
2.19252,3,1,7030,cluster4
0,4,1,18370,cluster13
0.836583,6,0,2300,cluster2
2.19252,3,1,7030,cluster4
0.836583,6,0,2300,cluster2
2.19252,3,1,7030,cluster4
1.30102,6,0,10440,cluster2
1.37126,1,1,10310,cluster1
0.748137,3,1,1170,cluster3
1.30102,6,0,10440,cluster2
0.748137,3,1,1170,cluster3
1.30102,6,0,10440,cluster2
0.696601,1,1,1190,cluster2
0.748137,3,1,1170,cluster3
1.30102,6,0,10440,cluster2
0.696601,1,1,1190,cluster2
1.30102,6,0,10440,cluster2
0.696601,1,1,1190,cluster2
1.30102,6,0,10440,cluster2
0.696601,1,1,1190,cluster2
1.47335,6,0,16330,cluster13
0.459867,6,0,150,cluster15
2.15905,6,0,11460,cluster2
0.459867,6,0,150,cluster15
2.35315,1,1,10260,cluster16
0.459867,6,0,150,cluster15
0,6,0,20490,cluster11
2.35315,1,1,10260,cluster16
0.459867,6,0,150,cluster15
1.37932,1,1,10360,cluster1
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
0.459867,6,0,150,cluster15
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
0.459867,6,0,150,cluster15
0.0999,6,0,23410,cluster10
2.35315,1,1,10260,cluster16
0.040233,5,1,1510,cluster13
0.459867,6,0,150,cluster15
0.0999,6,0,23410,cluster10
2.35315,1,1,10260,cluster16
0.040233,5,1,1510,cluster13
0.0999,6,0,23410,cluster10
2.35315,1,1,10260,cluster16
0.040233,5,1,1510,cluster13
0.459867,6,0,150,cluster15
0.530949,2,1,16260,cluster8
2.35315,1,1,10260,cluster16
0.5027,3,1,14250,cluster6
0.459867,6,0,150,cluster15
0.764018,1,1,19390,cluster8
2.35315,1,1,10260,cluster16
0.5027,3,1,14250,cluster6
2.35315,1,1,10260,cluster16
0.5027,3,1,14250,cluster6
0.04225,6,0,23280,cluster10
0.04225,6,0,23280,cluster10
0.155806,4,1,1170,cluster11
0.155806,4,1,1170,cluster11
0.518534,4,1,1310,cluster15
0.518534,4,1,1310,cluster15
0.518534,4,1,1310,cluster15
1.4641,3,1,14250,cluster6
0.518534,4,1,1310,cluster15
1.4641,3,1,14250,cluster6
0.518534,4,1,1310,cluster15
1.4641,3,1,14250,cluster6
