@relation 1train-c-weka.filters.unsupervised.attribute.Remove-R6-7

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' phase' {0,1,2,3}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.415416,1,0,1,23550,cluster15
0.415416,1,0,1,23550,cluster15
1.74063,4,2,1,6040,cluster4
1.46215,2,3,1,8270,cluster9
1.46215,2,3,1,8270,cluster9
1.4636,4,2,1,5040,cluster14
1.4636,4,2,1,5040,cluster14
1.12367,5,1,0,2370,cluster3
0.415416,1,0,1,23550,cluster15
0.415416,1,0,1,23550,cluster15
0.32515,1,3,1,8380,cluster8
1.46215,2,3,1,8270,cluster9
1.46215,2,3,1,8270,cluster9
1.4636,4,2,1,5040,cluster14
1.4636,4,2,1,5040,cluster14
1.12367,5,1,0,2370,cluster3
0.415416,1,0,1,23550,cluster15
0.415416,1,0,1,23550,cluster15
1.74063,4,2,1,6040,cluster4
1.46215,2,3,1,8270,cluster9
1.46215,2,3,1,8270,cluster9
0.55225,3,0,1,14060,cluster8
1.12367,5,1,0,2370,cluster3
0.415416,1,0,1,23550,cluster15
0.415416,1,0,1,23550,cluster15
0.6137,2,0,1,20420,cluster8
1.46215,2,3,1,8270,cluster9
1.46215,2,3,1,8270,cluster9
1.74063,4,2,1,6040,cluster4
0.204518,6,3,0,9480,cluster8
1.0894,2,2,1,4020,cluster18
1.79938,2,3,1,10090,cluster4
2.11517,4,2,1,6020,cluster4
0,5,1,1,1410,cluster11
0.907582,5,2,0,6070,cluster9
0.907582,5,2,0,6070,cluster9
1.07427,2,2,1,4010,cluster18
1.0894,2,2,1,4020,cluster18
1.05505,1,1,1,340,cluster15
1.05505,1,1,1,340,cluster15
1.46972,2,1,1,1460,cluster14
1.46972,2,1,1,1460,cluster14
2.11517,4,2,1,6020,cluster4
0.069484,6,0,0,20100,cluster8
0.692066,4,0,1,14200,cluster3
0.290767,1,0,1,16480,cluster17
1.79938,2,3,1,10090,cluster4
1.07427,2,2,1,4010,cluster18
1.16135,1,3,1,8350,cluster8
1.46972,2,1,1,1460,cluster14
1.46972,2,1,1,1460,cluster14
0.098,0,0,1,17540,cluster11
1.61253,2,3,1,9460,cluster4
0.907582,5,2,0,6070,cluster9
0.907582,5,2,0,6070,cluster9
0.692066,4,0,1,14200,cluster3
0.290767,1,0,1,16480,cluster17
1.0894,2,2,1,4020,cluster18
1.05505,1,1,1,340,cluster15
1.05505,1,1,1,340,cluster15
0,2,3,1,11270,cluster11
2.11517,4,2,1,6020,cluster4
1.07427,2,2,1,4010,cluster18
0.248634,1,2,1,5510,cluster2
