refinedUse,' dow',' dType',' Time',' Cluster'
1.98493,2,1,3330,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
1.59542,2,1,3230,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.0802,2,1,3320,cluster18
2.0802,2,1,3320,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
2.16962,2,1,3310,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.32975,2,1,3580,cluster18
1.32975,2,1,3580,cluster18
1.32975,2,1,3580,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.34113,2,1,3560,cluster18
1.34113,2,1,3560,cluster18
1.34113,2,1,3560,cluster18
1.34113,2,1,3560,cluster18
1.34113,2,1,3560,cluster18
1.34113,2,1,3560,cluster18
1.34113,2,1,3560,cluster18
1.34113,2,1,3560,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
2.57128,2,1,3550,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.78317,1,1,3140,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
1.33602,2,1,3570,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
2.57128,2,1,3550,cluster18
1.78317,1,1,3140,cluster18
