@relation 'week1_v4_clustered-weka.filters.unsupervised.attribute.Remove-R4-6,8-30-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0'

@attribute Day numeric
@attribute Time numeric
@attribute 'use [kW]_y' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0,14700,1.36535,cluster18
1,180600,1.280333,cluster0
1,231700,3.183867,cluster5
1,204600,2.486917,cluster4
0,214400,0.706133,cluster8
1,103200,1.575933,cluster19
1,74500,1.847633,cluster12
1,141200,0.838083,cluster19
1,54900,1.191267,cluster19
1,155100,0.4859,cluster11
1,131800,0.734733,cluster9
1,163200,0.584067,cluster11
1,152100,1.3885,cluster5
1,75600,2.10325,cluster13
0,2700,0.974933,cluster18
1,124400,0.72,cluster12
1,83100,0.636417,cluster11
1,204900,1.17375,cluster0
1,82200,0.519617,cluster11
0,3200,1.39835,cluster18
1,185900,2.358633,cluster5
0,53800,0.433617,cluster15
1,54900,0.5539,cluster6
0,213100,1.222167,cluster14
1,193500,0.800017,cluster4
1,81200,1.059783,cluster13
0,201900,1.03515,cluster14
0,120800,1.814133,cluster14
1,91100,1.2293,cluster2
1,94500,1.010333,cluster13
0,82800,1.210433,cluster7
1,143600,1.104983,cluster0
1,60300,0.541467,cluster11
0,211200,0.826667,cluster8
1,155400,1.446717,cluster5
1,63000,0.337183,cluster19
1,144500,0.544817,cluster11
1,183600,1.6322,cluster2
1,64700,0.602367,cluster11
1,81900,1.628217,cluster19
1,41400,0.425567,cluster11
1,124300,1.047517,cluster0
1,231400,1.19035,cluster5
1,20100,1.175417,cluster13
1,231900,1.74475,cluster2
1,155200,0.476583,cluster11
1,155500,0.371083,cluster11
0,41900,0.4296,cluster15
1,134200,0.665467,cluster12
1,174100,0.584067,cluster9
1,230100,0.589733,cluster3
0,131500,0.952633,cluster14
1,41200,1.251033,cluster6
1,175900,1.603683,cluster2
1,202200,0.936217,cluster0
1,44400,1.171117,cluster6
1,162700,0.5926,cluster11
0,183000,1.000033,cluster17
1,202500,0.819233,cluster3
0,100800,1.915933,cluster17
1,175100,0.733833,cluster9
1,92200,1.0317,cluster19
1,15000,1.1174,cluster13
1,222000,1.34955,cluster4
1,84700,1.320483,cluster12
1,171500,1.347633,cluster2
0,12400,0.97165,cluster18
0,24500,1.378017,cluster18
0,203300,0.941817,cluster8
0,61500,0.537833,cluster15
0,20200,1.0869,cluster18
1,61000,0.510667,cluster6
0,84800,6.955283,cluster17
1,32700,0.94075,cluster6
1,134000,0.5592,cluster11
1,22700,0.951083,cluster13
1,143000,1.299233,cluster12
1,115700,1.026133,cluster19
1,11900,1.579717,cluster13
1,142800,0.4287,cluster11
1,91600,1.488783,cluster2
1,154600,1.077817,cluster3
1,211600,0.451,cluster3
1,24500,1.243833,cluster19
1,35000,0.421967,cluster11
0,184300,1.24075,cluster7
0,63000,0.528767,cluster15
1,224400,1.27875,cluster0
1,174900,2.132183,cluster2
1,233400,1.21515,cluster2
1,102800,0.659817,cluster11
0,64500,0.954467,cluster15
1,162300,1.335083,cluster5
0,183300,1.31585,cluster7
0,190200,2.01365,cluster10
1,1100,1.47785,cluster13
1,234800,1.996283,cluster2
0,234700,2.432483,cluster7
1,151500,1.333033,cluster2
1,233300,1.918717,cluster5
0,154300,1.4889,cluster7
1,74700,1.2233,cluster2
1,50300,0.515367,cluster6
1,140300,0.80525,cluster9
1,133100,0.556217,cluster11
1,193400,1.21495,cluster4
1,224800,1.462817,cluster4
1,35300,1.017617,cluster6
0,145800,2.47505,cluster8
1,122000,1.495283,cluster12
1,133200,1.347683,cluster12
1,113300,1.407383,cluster12
1,185800,1.7497,cluster2
1,194600,0.95415,cluster4
1,60900,1.3455,cluster11
1,121300,0.902367,cluster12
1,110500,0.576383,cluster11
1,70600,0.63995,cluster11
1,80800,0.986967,cluster13
0,21200,0.970767,cluster18
1,81800,1.451267,cluster12
0,110000,1.7342,cluster17
0,82300,1.335133,cluster18
1,130600,0.838183,cluster9
1,52700,0.532533,cluster11
1,122000,1.006017,cluster9
0,800,2.52465,cluster1
1,213700,1.162067,cluster4
1,183900,1.629083,cluster12
1,162100,0.776783,cluster19
0,154800,1.21575,cluster7
0,52300,0.4357,cluster15
1,135500,0.5803,cluster11
0,63300,0.463683,cluster15
1,102500,1.570417,cluster2
0,160000,2.526483,cluster7
1,93300,1.370883,cluster13
0,160100,6.8311,cluster17
1,81500,0.5061,cluster11
1,203400,0.689217,cluster3
0,123700,0.71645,cluster8
1,161500,1.095283,cluster2
0,225900,0.59425,cluster8
1,213500,2.69725,cluster4
1,30300,0.952333,cluster13
1,11700,1.56805,cluster13
1,210800,1.339017,cluster9
1,140900,0.479517,cluster11
1,64800,1.767167,cluster11
1,82600,1.672783,cluster13
1,202700,0.657083,cluster0
1,200300,0.894,cluster3
1,230400,0.508417,cluster3
1,45400,0.5678,cluster6
