@relation 5.train

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21}

@data
0,32100,1.3138,cluster1
0,31900,1.301933,cluster1
0,31800,1.322217,cluster1
0,31600,1.307933,cluster1
0,31400,1.317583,cluster1
0,31200,1.320833,cluster1
0,30900,1.32275,cluster1
0,30700,1.3182,cluster1
0,30600,1.34095,cluster1
0,30400,1.384867,cluster1
0,30200,1.4937,cluster1
0,30000,0.970083,cluster1
0,25900,1.033067,cluster1
0,25800,1.07155,cluster1
0,25700,1.074333,cluster1
0,25600,1.0782,cluster1
0,25300,1.0777,cluster1
0,24900,1.075317,cluster1
0,24800,1.0746,cluster1
0,24300,1.08165,cluster1
0,23600,1.074767,cluster1
0,23400,1.08015,cluster1
0,23300,1.082717,cluster1
0,22100,1.381283,cluster1
0,21700,1.306733,cluster1
0,21300,1.3136,cluster1
0,20200,1.39485,cluster1
0,20100,1.4538,cluster1
0,14900,0.980417,cluster1
0,13900,1.094333,cluster1
0,13800,1.0953,cluster1
0,13700,1.0965,cluster1
0,13500,0.970783,cluster1
0,12300,0.9504,cluster1
0,12000,1.132333,cluster1
0,11800,1.313933,cluster1
0,11500,1.3179,cluster1
0,10100,1.421417,cluster1
0,5800,0.93735,cluster1
0,5600,0.7607,cluster1
0,5200,0.3992,cluster1
0,5100,0.399667,cluster1
0,5000,0.400133,cluster1
0,4300,0.409333,cluster1
0,3900,0.291217,cluster1
0,3700,0.292033,cluster1
0,2400,0.3908,cluster1
0,2200,0.380533,cluster1
0,2000,0.385833,cluster1
0,1400,0.760983,cluster1
0,1100,0.858733,cluster1
0,700,0.870367,cluster1
0,400,0.874817,cluster1
1,235900,0.978517,cluster1
1,235800,1.092783,cluster1
1,235700,0.55965,cluster1
1,235500,0.51515,cluster1
1,235200,0.39925,cluster1
1,235100,0.398917,cluster1
1,234800,0.399267,cluster1
1,234700,0.39945,cluster1
1,234400,0.40035,cluster1
1,234200,0.400667,cluster1
1,234000,0.401833,cluster1
1,233900,0.401233,cluster1
1,233200,0.40305,cluster1
1,232800,0.403467,cluster1
1,232500,0.4125,cluster1
1,232100,0.379133,cluster1
1,231500,0.747983,cluster1
1,231300,0.728483,cluster1
1,230900,0.831967,cluster1
1,230800,0.9182,cluster1
1,230700,0.92365,cluster1
1,230500,0.918933,cluster1
1,230400,0.939567,cluster1
1,230300,0.931517,cluster1
1,225900,0.800933,cluster1
1,225800,0.844433,cluster1
1,225000,0.512867,cluster1
1,224900,0.51145,cluster1
1,224700,0.510067,cluster1
1,224600,0.511517,cluster1
1,224500,0.51005,cluster1
1,224400,0.509017,cluster1
1,224000,0.395567,cluster1
1,223900,0.396267,cluster1
1,223800,0.396233,cluster1
1,223700,0.396833,cluster1
1,223600,0.39665,cluster1
1,223500,0.396133,cluster1
1,223200,0.395967,cluster1
1,222700,0.39815,cluster1
1,222200,0.400417,cluster1
1,222000,0.38065,cluster1
1,221900,0.38025,cluster1
1,221800,0.380933,cluster1
1,221300,0.8511,cluster1
1,221200,0.838633,cluster1
1,220800,0.866883,cluster1
1,220300,0.749983,cluster1
1,220200,0.726483,cluster1
1,220100,0.755167,cluster1
1,215700,0.8059,cluster1
1,215600,0.8247,cluster1
1,215500,0.9,cluster1
1,215000,0.397067,cluster1
1,214800,0.3998,cluster1
1,214700,0.40315,cluster1
