refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0.037419,5,1,1,2060,cluster13
0.06199,5,1,1,2050,cluster13
0.04708,5,1,1,2040,cluster13
0.03931,5,1,1,2030,cluster13
0.054651,5,1,1,2020,cluster13
0,4,0,1,21010,cluster13
0,4,0,1,21000,cluster13
0,4,0,1,20590,cluster13
0,4,0,1,20580,cluster13
0,4,0,1,20570,cluster13
0,4,0,1,20560,cluster13
0,4,0,1,20550,cluster13
0,4,0,1,20540,cluster13
0,4,0,1,20530,cluster13
0,4,0,1,20520,cluster13
0.237667,1,3,1,7100,cluster13
0.236982,1,3,1,7090,cluster13
0.2437,1,3,1,7080,cluster13
0.242683,1,3,1,7070,cluster13
0.249667,1,3,1,7060,cluster13
0.23315,1,3,1,7050,cluster13
0.245316,1,3,1,7040,cluster13
0.236649,1,3,1,7030,cluster13
0.222933,1,3,1,7020,cluster13
0.277617,1,3,1,7010,cluster13
0.044304,5,1,1,2010,cluster13
0.046134,5,1,1,2000,cluster13
0.057807,5,1,1,1590,cluster13
0.048669,5,1,1,1580,cluster13
0.05722,5,1,1,1570,cluster13
0.062524,5,1,1,1560,cluster13
0.071986,5,1,1,1550,cluster13
0.061473,5,1,1,1540,cluster13
0.051137,5,1,1,1530,cluster13
0.057067,5,1,1,1520,cluster13
0,4,0,1,20510,cluster13
0,4,0,1,20500,cluster13
0,4,0,1,20490,cluster13
0,4,0,1,20480,cluster13
0,4,0,1,20470,cluster13
0.083753,4,0,1,20460,cluster13
0.207833,4,0,1,20450,cluster13
0.97682,4,0,1,20440,cluster13
0.335833,4,0,1,20430,cluster13
0.10384,4,0,1,20420,cluster13
0.284767,1,3,1,7000,cluster13
0.285151,1,2,1,6590,cluster13
0.284701,1,2,1,6580,cluster13
0.284667,1,2,1,6570,cluster13
0.283849,1,2,1,6560,cluster13
0.280934,1,2,1,6550,cluster13
0.291133,1,2,1,6540,cluster13
0.1595,1,2,1,6530,cluster13
0.12015,1,2,1,6520,cluster13
0.116216,1,2,1,6510,cluster13
0.040233,5,1,1,1510,cluster13
0.06042,5,1,1,1500,cluster13
0,5,1,1,1490,cluster13
0.02357,5,1,1,1480,cluster13
0.11467,5,1,1,1470,cluster13
0.107437,5,1,1,1460,cluster13
0,5,1,1,1450,cluster13
0,5,1,1,1440,cluster13
0,5,1,1,1430,cluster13
0,5,1,1,1420,cluster13
0.109283,1,2,1,6500,cluster13
0.1169,1,2,1,6490,cluster13
0.116,1,2,1,6480,cluster13
0,5,1,1,1410,cluster13
0,5,1,1,1400,cluster13
0,5,1,1,1390,cluster13
0,5,1,1,1380,cluster13
0,5,1,1,1370,cluster13
0,5,1,1,1360,cluster13
0,5,1,1,1350,cluster13
0,5,1,1,1340,cluster13
0,5,1,1,1330,cluster13
0.088646,5,1,1,1320,cluster13
0.08414,5,1,1,1310,cluster13
0,5,1,1,1300,cluster13
0,5,1,1,1290,cluster13
0,5,1,1,1280,cluster13
