'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
0.327336,5,0,1,23260,1.32062,cluster15
0.30242,5,0,1,23250,1.33557,cluster15
0.301646,5,0,1,23240,1.37673,cluster15
0.594969,5,0,1,23230,1.45062,cluster15
0.657387,5,0,1,23220,1.51282,cluster15
0,5,0,1,20300,1.651217,cluster5
0.660037,5,0,1,23210,1.49037,cluster15
0,5,0,1,20290,0.9879,cluster5
0,5,0,1,20280,0.986767,cluster5
0,5,0,1,20270,0.9867,cluster5
0,5,0,1,20260,0.98405,cluster5
0,5,0,1,20250,0.985633,cluster5
0,5,0,1,20240,1.0053,cluster5
0,5,0,1,20230,0.873917,cluster5
0,5,0,1,20220,0.875017,cluster5
0,5,0,1,20210,0.87545,cluster5
0.20952,1,0,1,22310,0.29205,cluster4
0.099666,1,0,1,22300,0.293133,cluster12
0,1,0,1,22290,0.297667,cluster12
0,1,0,1,22280,0.661483,cluster12
0,1,0,1,22270,0.856367,cluster12
0.006436,1,0,1,22260,0.9108,cluster12
0.03205,1,0,1,22250,0.94855,cluster12
0.04037,1,0,1,22240,0.954833,cluster12
0.034153,1,0,1,22230,0.9575,cluster12
0.039149,1,0,1,22220,0.952533,cluster12
0.117183,5,0,1,19300,1.009567,cluster13
0.13305,5,0,1,19290,0.995867,cluster13
0.148051,5,0,1,19280,0.9956,cluster13
0.147016,5,0,1,19270,0.99505,cluster13
0.160785,5,0,1,19260,1.020417,cluster13
0.152334,5,0,1,19250,1.102317,cluster13
0.126966,5,0,1,19240,1.108033,cluster13
0.129716,5,0,1,19230,1.09835,cluster13
0.119317,5,0,1,19220,1.10075,cluster13
0.1277,5,0,1,19210,1.0998,cluster13
0.11143,1,3,1,9290,1.57488,cluster13
0.187336,1,3,1,9280,1.56322,cluster13
0.071633,1,3,1,9270,1.44565,cluster13
0,3,1,1,3310,1.75298,cluster12
0.041103,1,3,1,9260,1.42712,cluster13
0,3,1,1,3300,1.70098,cluster12
0.067279,1,3,1,9250,1.45818,cluster13
0.017034,3,1,1,3290,1.77798,cluster12
0.020697,1,3,1,9240,1.44843,cluster13
0,3,1,1,3280,1.7372,cluster12
0,1,3,1,9230,1.4693,cluster13
0,3,1,1,3270,1.6616,cluster12
0.110221,1,3,1,9220,1.54687,cluster13
0.033793,3,1,1,3260,1.68942,cluster12
0.153896,1,3,1,9210,1.53053,cluster13
0,3,1,1,3250,1.57042,cluster12
0.08712,1,3,1,9200,1.47967,cluster13
0,3,1,1,3240,1.5796,cluster12
0,3,1,1,3230,1.5948,cluster12
0,3,1,1,3220,1.60853,cluster12
0.026604,1,0,1,22210,0.944017,cluster12
0.041921,1,0,1,22200,0.95615,cluster12
0.033334,1,0,1,22190,0.957367,cluster12
0.058367,1,0,1,22180,0.964367,cluster12
0.025568,1,0,1,22170,0.950267,cluster12
0.052434,1,0,1,22160,0.956367,cluster12
0.028867,1,0,1,22150,0.954183,cluster12
0.038936,1,0,1,22140,0.9537,cluster12
0.01569,1,0,1,22130,0.96285,cluster12
0.040854,1,0,1,22120,0.972133,cluster12
0.15028,1,3,1,9190,1.51923,cluster13
