refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0.054519,5,0,1,21100,cluster13
0.050283,5,0,1,21090,cluster13
0.52525,3,0,1,17200,cluster8
0.046824,5,0,1,21080,cluster13
0.533268,3,0,1,17190,cluster8
0.05132,5,0,1,21070,cluster13
0.525184,3,0,1,17180,cluster8
0.050887,5,0,1,21060,cluster13
0.534083,3,0,1,17170,cluster8
0.045491,5,0,1,21050,cluster13
0.527768,3,0,1,17160,cluster8
0.052616,5,0,1,21040,cluster13
0.530117,3,0,1,17150,cluster8
0.04545,5,0,1,21030,cluster13
0.540317,3,0,1,17140,cluster8
0.042375,5,0,1,21020,cluster13
0.534584,3,0,1,17130,cluster8
0.51965,3,0,1,17120,cluster8
0.543433,3,0,1,17110,cluster8
0.629877,1,3,1,11010,cluster7
0.665257,1,3,1,11000,cluster7
0.64925,1,3,1,10590,cluster7
0.664773,1,3,1,10580,cluster7
0,6,0,0,21110,cluster13
0.65552,1,3,1,10570,cluster7
0,6,0,0,21100,cluster13
0.072207,1,3,1,10560,cluster7
0,6,0,0,21090,cluster13
0.25187,1,3,1,10550,cluster7
0.094507,6,0,0,21080,cluster13
0.485583,1,3,1,10540,cluster7
0,6,0,0,21070,cluster13
0.578377,1,3,1,10530,cluster7
0,6,0,0,21060,cluster13
1.1308,1,3,1,10520,cluster7
0.161549,6,0,0,21050,cluster13
0.122604,6,0,0,21040,cluster13
0.058233,6,0,0,21030,cluster13
0.06727,6,0,0,21020,cluster13
0.704999,1,1,1,1200,cluster2
0.836583,6,1,0,2300,cluster2
0.696601,1,1,1,1190,cluster2
0.952201,6,1,0,2290,cluster2
0.693883,1,1,1,1180,cluster2
0.955299,6,1,0,2280,cluster2
0.692468,1,1,1,1170,cluster2
0.550487,3,3,1,10200,cluster13
0.962134,6,1,0,2270,cluster2
0.693916,1,1,1,1160,cluster2
0.549047,3,3,1,10190,cluster13
0.958201,6,1,0,2260,cluster2
0.678834,1,1,1,1150,cluster2
0.552621,3,3,1,10180,cluster13
0.958799,6,1,0,2250,cluster2
0.8117,1,1,1,1140,cluster2
0.552566,3,3,1,10170,cluster13
0.806684,6,1,0,2240,cluster2
1.25458,1,1,1,1130,cluster2
0.558963,3,3,1,10160,cluster13
0.71295,6,1,0,2230,cluster2
0.62475,4,0,1,22200,cluster1
1.19,1,1,1,1120,cluster2
0.638586,3,3,1,10150,cluster13
0.714366,6,1,0,2220,cluster2
0.636749,4,0,1,22190,cluster1
1.01928,1,1,1,1110,cluster2
0.694213,3,3,1,10140,cluster13
0.768551,6,1,0,2210,cluster2
0.632634,4,0,1,22180,cluster1
0.662119,3,3,1,10130,cluster13
0.64425,4,0,1,22170,cluster1
1.86162,3,3,1,7200,cluster19
0.690567,3,3,1,10120,cluster13
0.668968,4,0,1,22160,cluster1
1.89752,3,3,1,7190,cluster19
0.87677,3,3,1,10110,cluster13
0.670568,4,0,1,22150,cluster1
1.97103,3,3,1,7180,cluster19
0.669567,4,0,1,22140,cluster1
2.01418,3,3,1,7170,cluster19
1.05633,2,0,1,16200,cluster1
0.669484,4,0,1,22130,cluster1
2.00202,3,3,1,7160,cluster19
0.945633,2,0,1,16190,cluster1
0.669734,4,0,1,22120,cluster1
